timeSince10,Aneurin Bevan,Antrim and Newtownabbey,"Armagh, Banbridge and Craigavon",Ayrshire and Arran,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedford,Belfast,Betsi Cadwaladr,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,Borders,"Bournemouth, Christchurch and Poole",Bracknell Forest,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Cambridgeshire,Camden,Cardiff and Vale,Causeway Coast and Glens,Central Bedfordshire,Cheshire East,Cheshire West and Chester,Cornwall and Isles of Scilly,County Durham,Coventry,Croydon,Cumbria,Cwm Taf,Cwm Taf Morgannwg,Darlington,Derby,Derbyshire,Derry and Strabane,Devon,Doncaster,Dorset,Dudley,Dumfries and Galloway,Ealing,East Riding of Yorkshire,East Sussex,Enfield,Essex,Fermanagh and Omagh,Fife,Forth Valley,Gateshead,Gloucestershire,Grampian,Greater Glasgow and Clyde,Greenwich,Hackney and City of London,Halton,Hammersmith and Fulham,Hampshire,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hertfordshire,Highland,Hillingdon,Hounslow,Hywel Dda,Isle of Wight,Islington,Kensington and Chelsea,Kent,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Lanarkshire,Lancashire,Leeds,Leicester,Leicestershire,Lewisham,Lincolnshire,Lisburn and Castlereagh,Liverpool,Lothian,Luton,Manchester,Medway,Merton,Mid Ulster,Mid and East Antrim,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,"Newry, Mourne and Down",Norfolk,North Down and Ards,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,North Yorkshire,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oldham,Oxfordshire,Peterborough,Plymouth,Portsmouth,Powys,Reading,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Salford,Sandwell,Sefton,Sheffield,Shetland,Shropshire,Slough,Solihull,Somerset,South Gloucestershire,South Tyneside,Southampton,Southend-on-Sea,Southwark,St. Helens,Staffordshire,Stockport,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Sunderland,Surrey,Sutton,Swansea Bay,Swindon,Tameside,Tayside,Telford and Wrekin,Thurrock,Torbay,Tower Hamlets,Trafford,Unknown,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,Warwickshire,West Berkshire,West Sussex,Westminster,Wigan,Wiltshire,Windsor and Maidenhead,Wirral,Wokingham,Wolverhampton,Worcestershire,York
10 days,514.0,,,108.0,93.0,94.0,,,,,,85.0,290.0,,,,,,,,170.0,33.0,65.0,149.0,50.0,,,47.0,60.0,282.0,,,,,,,,261.0,211.0,,87.0,,100.0,110.0,,25.0,,,122.0,,123.0,,,144.0,88.0,,70.0,81.0,,78.0,24.0,152.0,97.0,74.0,,80.0,138.0,76.0,145.0,,105.0,,50.0,,103.0,112.0,75.0,,96.0,57.0,64.0,,82.0,,,188.0,87.0,141.0,53.0,,136.0,114.0,,,100.0,46.0,,63.0,,108.0,,,,,135.0,148.0,,107.0,,,,,,75.0,64.0,,79.0,109.0,73.0,63.0,,,,,,143.0,,94.0,,,,,,130.0,24.0,,59.0,,,53.0,,,,154.0,,186.0,79.0,,,87.0,,69.0,54.0,125.0,,52.0,48.0,,,,93.0,53.0,,,78.0,154.0,184.0,,127.0,,113.0,134.0,,67.0,48.0,,,103.0,,
11 days,565.0,,,154.0,100.0,99.0,,,,,,102.0,366.0,,,,,,,,192.0,33.0,78.0,188.0,59.0,,,68.0,64.0,344.0,,,,,,,,289.0,238.0,,,,105.0,139.0,,26.0,,,136.0,,136.0,,,151.0,130.0,,,95.0,,105.0,24.0,183.0,118.0,85.0,,94.0,156.0,91.0,167.0,,118.0,,52.0,,129.0,126.0,87.0,,120.0,75.0,72.0,,92.0,,,212.0,114.0,167.0,67.0,,141.0,144.0,,,132.0,59.0,,76.0,,128.0,,,,,155.0,195.0,,133.0,,,,,,88.0,86.0,,91.0,135.0,82.0,69.0,,,,,,161.0,,112.0,,,,,,174.0,24.0,,69.0,,,58.0,,,,181.0,,212.0,93.0,,,100.0,,110.0,69.0,157.0,,58.0,57.0,,,,129.0,64.0,,,100.0,182.0,204.0,,148.0,,113.0,143.0,,76.0,48.0,,,128.0,,
12 days,,,,,115.0,100.0,,,,,,119.0,428.0,,,,,,,,228.0,33.0,92.0,217.0,66.0,,,85.0,71.0,,,,,,,,,313.0,292.0,,,,118.0,170.0,,26.0,,,,,165.0,,,164.0,166.0,,,94.0,,107.0,29.0,221.0,128.0,119.0,,112.0,171.0,113.0,196.0,,,,52.0,,140.0,139.0,,,131.0,81.0,96.0,,,,,248.0,140.0,231.0,80.0,,146.0,158.0,,,157.0,70.0,,91.0,,141.0,,,,,186.0,230.0,,,,,,,,108.0,106.0,,97.0,177.0,101.0,86.0,,,,,,,,,,,,,,240.0,24.0,,73.0,,,,,,,209.0,,256.0,,,,,,117.0,82.0,,,62.0,76.0,,,,160.0,77.0,,,108.0,196.0,228.0,,,,,152.0,,,,,,141.0,,
13 days,,,,,,103.0,,,,,,130.0,513.0,,,,,,,,265.0,,,268.0,106.0,,,100.0,85.0,,,,,,,,,,340.0,,94.0,,,194.0,,42.0,,,,,209.0,,,,213.0,,,103.0,,109.0,31.0,258.0,148.0,134.0,,124.0,207.0,127.0,225.0,,,,75.0,,163.0,152.0,,,141.0,85.0,112.0,,,,,276.0,165.0,278.0,95.0,,,188.0,,,197.0,88.0,,109.0,,161.0,,,,,,250.0,,,,,,,,,126.0,,99.0,193.0,,98.0,,,,,,,,,,,,,,286.0,24.0,,73.0,,,,,,,253.0,,,,,,,,142.0,93.0,,,,107.0,,,,184.0,86.0,,,125.0,,265.0,,,,,172.0,,,,,,153.0,,
14 days,,,,,,115.0,,,,,,,578.0,,,,,,,,295.0,,,277.0,115.0,,,109.0,99.0,,,,,,,,,,,,,,,210.0,,43.0,,,,,241.0,,,,244.0,,,,,,45.0,299.0,168.0,151.0,,144.0,251.0,141.0,251.0,,,,92.0,,192.0,184.0,,,152.0,91.0,182.0,,,,,318.0,184.0,,113.0,,,218.0,,,,111.0,,,,172.0,,,,,,,,,,,,,,,153.0,,,216.0,,113.0,,,,,,,,,,,,,,361.0,27.0,,,,,,,,,290.0,,,,,,,,271.0,111.0,,,,107.0,,,,195.0,,,,151.0,,287.0,,,,,189.0,,,,,,175.0,,
15 days,,,,,,117.0,,,,,,,,,,,,,,,321.0,,,,128.0,,,,115.0,,,,,,,,,,,,,,,225.0,,46.0,,,,,265.0,,,,301.0,,,,,,52.0,376.0,185.0,177.0,,158.0,267.0,151.0,283.0,,,,115.0,,,,,,,97.0,230.0,,,,,358.0,197.0,,129.0,,,248.0,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,121.0,,,,,,,,,,,,,,387.0,27.0,,,,,,,,,319.0,,,,,,,,314.0,,,,,107.0,,,,,,,,,,314.0,,,,,206.0,,,,,,,,
16 days,,,,,,119.0,,,,,,,,,,,,,,,359.0,,,,140.0,,,,119.0,,,,,,,,,,,,,,,,,48.0,,,,,304.0,,,,,,,,,,62.0,401.0,,189.0,,,317.0,,,,,,139.0,,,,,,,110.0,253.0,,,,,366.0,,,,,,,,,,151.0,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,428.0,27.0,,,,,,,,,365.0,,,,,,,,338.0,,,,,108.0,,,,,,,,,,,,,,,226.0,,,,,,,,
17 days,,,,,,124.0,,,,,,,,,,,,,,,,,,,,,,,127.0,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,66.0,449.0,,,,,384.0,,,,,,147.0,,,,,,,116.0,296.0,,,,,,,,,,,,,,,188.0,,,,,,,,,,,,,,,,,,,,,,,,165.0,,,,,,,,,,,,,,,,,,,,,,,,368.0,,,,,,,,358.0,,,,,,,,,,,,,,,,,,,,241.0,,,,,,,,
18 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,432.0,,,,,,170.0,,,,,,,123.0,,,,,,,,,,,,,,,,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,498.0,,,,,,206.0,,,,,,,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0,,,,,,,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
